date,recession_prob,reprise_prob,boom_prob,ralentissement_prob,cycle_phase,markov_prob,kalman_prob,blended_prob
1971-03-31,0.0219665284110981,8.401643466215534e-06,0.4380661455984148,0.5399589243470209,ralentissement_prob,0.2919459905846086,0.4257365986283364,0.4697543268167713
1971-04-30,0.0219665284110981,8.401643466215534e-06,0.4380661455984148,0.5399589243470209,ralentissement_prob,0.2919459905846086,0.4741952763240784,0.5032851145573717
1971-05-31,0.0219665284110981,8.401643466215534e-06,0.4380661455984148,0.5399589243470209,ralentissement_prob,0.2919459905846086,0.5070006644258911,0.5259846713239931
1971-06-30,0.0642450445604976,0.0025839008500536,0.0735231939856209,0.8596478606038277,ralentissement_prob,0.4940689748624115,0.5145809715058288,0.7565122665953671
1971-07-31,0.0642450445604976,0.0025839008500536,0.0735231939856209,0.8596478606038277,ralentissement_prob,0.4940689748624115,0.5245639018217096,0.7654376948690096
1971-08-31,0.0642450445604976,0.0025839008500536,0.0735231939856209,0.8596478606038277,ralentissement_prob,0.4940689748624115,0.526069981811694,0.7667842342617156
1971-09-30,0.0935296856612493,0.0031838773205551,0.0149472476281738,0.8883391893900217,ralentissement_prob,0.5376992803562601,0.5494898560454881,0.8378758107906752
1971-10-31,0.0935296856612493,0.0031838773205551,0.0149472476281738,0.8883391893900217,ralentissement_prob,0.5376992803562601,0.5550169752222034,0.8430585864651244
1971-11-30,0.0935296856612493,0.0031838773205551,0.0149472476281738,0.8883391893900217,ralentissement_prob,0.5376992803562601,0.5536495911928926,0.8417763914448692
1971-12-31,0.1260199637430319,0.0002915115517766,0.0168306085788302,0.8568579161263612,ralentissement_prob,0.5544489218062125,0.5914656777591829,0.8971931315063604
1972-01-31,0.1260199637430319,0.0002915115517766,0.0168306085788302,0.8568579161263612,ralentissement_prob,0.5544489218062125,0.6359979841539566,0.9396969433303961
1972-02-29,0.1260199637430319,0.0002915115517766,0.0168306085788302,0.8568579161263612,ralentissement_prob,0.5544489218062125,0.6664913076257022,0.9688012630402917
1972-03-31,0.0091192713353768,1.574868366044426e-05,0.0263473845759357,0.964517595405027,ralentissement_prob,0.4913780690378903,0.6868915346491541,0.9071068912167701
1972-04-30,0.0091192713353768,1.574868366044426e-05,0.0263473845759357,0.964517595405027,ralentissement_prob,0.4913780690378903,0.6922345540772749,0.9118695415574405
1972-05-31,0.0091192713353768,1.574868366044426e-05,0.0263473845759357,0.964517595405027,ralentissement_prob,0.4913780690378903,0.71254412446807,0.9299730471953765
1972-06-30,0.0010824266712009,2.5459771299653526e-06,0.0068777546187401,0.992037272732929,ralentissement_prob,0.4971010630376654,0.6974742783822157,0.9239655544007135
